item_name,item_url
"MamyPoko Pants Extra Absorb Baby Diaper, Medium (Pack of 76)",https://www.amazon.in/MamyPoko-Pants-Absorb-Diaper-Medium/dp/B07KFP92L2/ref=sr_1_45?crid=3FYUO42MDKZ2G&keywords=mamy+poko+pants&qid=1646055826&sprefix=mamy+poko+pan%2Caps%2C709&sr=8-45
"MamyPoko Pants Extra Absorb Baby Diaper Box, Extra Large (104 Count)",https://www.amazon.in/MamyPoko-Pants-Extra-Absorb-Diaper/dp/B07XHJN3PD/ref=sr_1_46?crid=3FYUO42MDKZ2G&keywords=mamy+poko+pants&qid=1646055826&sprefix=mamy+poko+pan%2Caps%2C709&sr=8-46
"MamyPoko Pants Extra Absorb Baby Diaper, Small (58 Count)",https://www.amazon.in/MamyPoko-Pants-Extra-Absorb-Diaper/dp/B07TFW7VBY/ref=sr_1_47?crid=3FYUO42MDKZ2G&keywords=mamy+poko+pants&qid=1646055826&sprefix=mamy+poko+pan%2Caps%2C709&sr=8-47
"MamyPoko Diaper Pants Extra Absorb, X-Large, 36 Pieces & MamyPoko Pants Extra Absorb Baby Diaper, Extra Large (52 Count)",https://www.amazon.in/MamyPoko-Diaper-Absorb-X-Large-Pieces/dp/B09Q8TC5KQ/ref=sr_1_48?crid=3FYUO42MDKZ2G&keywords=mamy+poko+pants&qid=1646055826&sprefix=mamy+poko+pan%2Caps%2C709&sr=8-48
"MamyPoko Pants Extra Absorb Baby Diaper Box, Large (9 - 14 kg), 128 Count",https://www.amazon.in/MamyPoko-Pants-Extra-Absorb-Diaper/dp/B07XDHJQF2/ref=sr_1_49?crid=3FYUO42MDKZ2G&keywords=mamy+poko+pants&qid=1646055826&sprefix=mamy+poko+pan%2Caps%2C709&sr=8-49
"MamyPoko Pants Extra Absorb Baby Diapers, New Born (Upto 5 kgs) 99 Count",https://www.amazon.in/MamyPoko-Pants-Extra-Absorb-Diapers/dp/B07TCNCX4F/ref=sr_1_50?crid=3FYUO42MDKZ2G&keywords=mamy+poko+pants&qid=1646055826&sprefix=mamy+poko+pan%2Caps%2C709&sr=8-50
"MamyPoko Pants Extra Absorb Baby Diaper, Small (Pack of 84)",https://www.amazon.in/MamyPoko-Pants-Extra-Absorb-Diaper/dp/B07KFJ8QM9/ref=sr_1_51?crid=3FYUO42MDKZ2G&keywords=mamy+poko+pants&qid=1646055826&sprefix=mamy+poko+pan%2Caps%2C709&sr=8-51
"MamyPoko Pants Extra Absorb Baby Diaper, Extra Large (48 Count)",https://www.amazon.in/MamyPoko-Pants-Extra-Absorb-Diaper/dp/B09J96DLHZ/ref=sr_1_52?crid=3FYUO42MDKZ2G&keywords=mamy+poko+pants&qid=1646055826&sprefix=mamy+poko+pan%2Caps%2C709&sr=8-52
"MamyPoko Pants Extra Absorb Baby Diaper, Small (4 - 8 kg), 126 Count",https://www.amazon.in/MamyPoko-Pants-Extra-Absorb-Diaper/dp/B07TFVWP58/ref=sr_1_53?crid=3FYUO42MDKZ2G&keywords=mamy+poko+pants&qid=1646055826&sprefix=mamy+poko+pan%2Caps%2C709&sr=8-53
mamy poko Pants Extra Absorb (Children: Large (44 Pieces)),https://www.amazon.in/mamy-Pants-Extra-Absorb-Children/dp/B08C7TLZZ7/ref=sr_1_54?crid=3FYUO42MDKZ2G&keywords=mamy+poko+pants&qid=1646055826&sprefix=mamy+poko+pan%2Caps%2C709&sr=8-54
"MamyPoko Pants Extra Absorb Baby Diapers, New Born (Upto 5 kg), 66 Count",https://www.amazon.in/MamyPoko-Pants-Extra-Absorb-Diapers/dp/B07TGVNBGF/ref=sr_1_55?crid=3FYUO42MDKZ2G&keywords=mamy+poko+pants&qid=1646055826&sprefix=mamy+poko+pan%2Caps%2C709&sr=8-55
"Mamy Poko Pants L Size, Extra Absorb Diapers (Count-44)",https://www.amazon.in/Mamy-Poko-Pants-Diapers-Count-44/dp/B082YXDN18/ref=sr_1_56?crid=3FYUO42MDKZ2G&keywords=mamy+poko+pants&qid=1646055826&sprefix=mamy+poko+pan%2Caps%2C709&sr=8-56
"Huggies Dry Pants, Small (S) Size Baby Diaper Pants, 36 count, with Bubble Bed Technology for comfort",https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A0622966HRGXFM0ME2UF&url=%2FHuggies-Pants-Small-Diapers-Count%2Fdp%2FB083F8DBNH%2Fref%3Dsr_1_57_sspa%3Fcrid%3D3FYUO42MDKZ2G%26keywords%3Dmamy%2Bpoko%2Bpants%26qid%3D1646055826%26sprefix%3Dmamy%2Bpoko%2Bpan%252Caps%252C709%26sr%3D8-57-spons%26psc%3D1&qualifier=1646055826&id=457045283929513&widgetName=sp_btf
"Wowper Fresh Baby Diapers Pants | Wetness Indicator | Upto 10 Hrs Absorption (XXL, 76)",https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A0762347P3EGSRDI76EV&url=%2FWowper-Diapers-Wetness-Indicator-Absorption%2Fdp%2FB09Q5ZHCPX%2Fref%3Dsr_1_58_sspa%3Fcrid%3D3FYUO42MDKZ2G%26keywords%3Dmamy%2Bpoko%2Bpants%26qid%3D1646055826%26sprefix%3Dmamy%2Bpoko%2Bpan%252Caps%252C709%26sr%3D8-58-spons%26psc%3D1&qualifier=1646055826&id=457045283929513&widgetName=sp_btf
"Himalaya Total Care Baby Pants Diapers, Extra Large (12 - 17 kg), 74 Count",https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A03624873VA0GHAQ0978N&url=%2FHimalaya-Total-Pants-Diapers-Large%2Fdp%2FB07MBYCL5Z%2Fref%3Dsr_1_59_sspa%3Fcrid%3D3FYUO42MDKZ2G%26keywords%3Dmamy%2Bpoko%2Bpants%26qid%3D1646055826%26sprefix%3Dmamy%2Bpoko%2Bpan%252Caps%252C709%26sr%3D8-59-spons%26psc%3D1&qualifier=1646055826&id=457045283929513&widgetName=sp_btf
"Little Angel Baby Diaper Pants, Medium (2 X Pack of 56)",https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A03432911MR9K424GCQXS&url=%2FLittle-Angel-Diaper-Pants-Medium%2Fdp%2FB07NK75W7W%2Fref%3Dsr_1_60_sspa%3Fcrid%3D3FYUO42MDKZ2G%26keywords%3Dmamy%2Bpoko%2Bpants%26qid%3D1646055826%26sprefix%3Dmamy%2Bpoko%2Bpan%252Caps%252C709%26sr%3D8-60-spons%26psc%3D1&qualifier=1646055826&id=457045283929513&widgetName=sp_btf
